file_name,aliquot_id,case_id,submitter_id
b14b569b-810b-4091-b681-02a667435be9.rna_seq.augmented_star_gene_counts.tsv,b40b5bb9-abc4-452b-9859-88873097739a,fd036ec5-3ffb-40b1-8002-943be0e2532e,TCGA-BJ-A3PR
66ea2c9c-6d0e-4f41-9bd6-75bf0dc6a92a.rna_seq.augmented_star_gene_counts.tsv,a2834aba-b6c1-4e62-8682-d6fc9d093e49,fef9c64f-5959-4da0-aaa2-66b56fc7b4c3,TCGA-EM-A3FQ
43aa36aa-b88a-4f92-90d7-902c246bb859.rna_seq.augmented_star_gene_counts.tsv,e9eda4da-4b9d-4add-8229-985b27f5ac2c,fffdb1d9-58d1-425c-ac12-1e1e5f443bf7,TCGA-DJ-A4V0
a1d6a598-582d-4c83-bd11-5113da8efc4a.rna_seq.augmented_star_gene_counts.tsv,525589a6-6bb6-4736-aa49-4f06deb503d2,eb15422b-cafd-4af2-973e-8c997a911170,TCGA-ET-A2MY
7cfd3590-3e76-40f8-b783-0c63955b3882.rna_seq.augmented_star_gene_counts.tsv,c262a55b-8cf2-4c47-a867-f010361e22ac,ebbd54ad-7b97-4081-ad11-7f7f3ce74eef,TCGA-E8-A418
a62d02b3-1dd2-4bff-8534-2ece3cd6d93d.rna_seq.augmented_star_gene_counts.tsv,98b3eb13-0755-4015-87dd-4f6fabe4a16b,ef3dd880-7be4-46a8-93c2-7cba1a9cd24d,TCGA-EL-A3MW
036f7712-a636-4198-b568-6c85d9db4a3b.rna_seq.augmented_star_gene_counts.tsv,89296277-231a-4808-bcd9-380af991cbf6,4d9de9a1-7df1-412e-9f16-15dd51b4c5f5,TCGA-E8-A242
5cefffdd-a2ba-46e9-bdd8-cf3056e7f6ee.rna_seq.augmented_star_gene_counts.tsv,54e48c8b-068a-4548-a31d-82ec1128a58e,4e227a7a-b885-4e9b-a4c2-aad9e6c154e5,TCGA-J8-A3YD
8bb68e05-a458-43c3-a8ed-e826d05045f0.rna_seq.augmented_star_gene_counts.tsv,237aa00b-7c17-45ef-a95e-396565c7b581,52bc133b-8a10-4c9b-adc3-22910a191e6b,TCGA-KS-A4I9
f39f7eac-0998-4bd2-b47f-ce6f7c1c0557.rna_seq.augmented_star_gene_counts.tsv,32e30d37-eaad-411b-a008-f8b69ffd1624,53ba15c0-780e-4153-a612-046f1b24b4b3,TCGA-FY-A3TY
6097a9e6-a272-4a58-b58b-9dfae47a68f5.rna_seq.augmented_star_gene_counts.tsv,4e1f858e-35c7-4259-b495-dac1d344b4e6,541406fa-4443-4094-a303-43913d96f016,TCGA-IM-A41Y
c854bca8-aa88-4a0d-bea5-7ac20c4a1ff1.rna_seq.augmented_star_gene_counts.tsv,7aa5ec16-e882-4627-9a15-1bb19a421576,4c0b29e6-8530-43d5-8e8a-efb754e83ecd,TCGA-EL-A3CT
51fcd3dc-a90c-4481-955a-6843f57dc54f.rna_seq.augmented_star_gene_counts.tsv,cdd106af-cba4-4daf-a24c-7f7021eeee0a,6435ea21-7214-40c5-9ccb-a1f22685a728,TCGA-EL-A3T3
05e8a50c-4478-4d28-977b-68cc319493a9.rna_seq.augmented_star_gene_counts.tsv,ef3079e2-6eeb-4b6d-b412-1d57219be39c,646d1585-2d12-483c-8425-77d5451b2869,TCGA-EM-A4FV
c330e86f-807f-4d19-be0a-7c2ce90dfb82.rna_seq.augmented_star_gene_counts.tsv,27e42af5-cd5b-4028-ac50-e01062a7eeac,5eb0d577-223b-4409-89d1-5c5d196affc3,TCGA-FE-A232
141eb492-647d-435d-995a-adcf6e19b4fd.rna_seq.augmented_star_gene_counts.tsv,f0e775db-aafa-45e0-8428-82d7456b4185,5c118e15-1e48-42a6-8d29-179e6e71a26c,TCGA-FY-A4B4
69830d59-61a6-4b21-bf3b-94f97d551ca2.rna_seq.augmented_star_gene_counts.tsv,8974350a-0e8b-4094-9ca5-72b61fe3b5a6,618a1c29-5c26-46db-83d5-4799f9043cd3,TCGA-ET-A25J
7c3032a6-5ba2-418b-b411-75ae6968ca50.rna_seq.augmented_star_gene_counts.tsv,83d04848-bb60-4f0b-8ab4-bad21d237ded,6592a7db-cbc7-4afd-9fdb-5cc16c16eeca,TCGA-DJ-A3V3
1e27af56-7990-4dda-85b8-6c41071b79ce.rna_seq.augmented_star_gene_counts.tsv,fa7ae96d-aa85-4328-8806-abed43d7d561,4481d84d-109e-44a0-bcb4-e6e61bdce796,TCGA-ET-A25L
e023b9ca-4b73-4ada-8100-326dbd02095c.rna_seq.augmented_star_gene_counts.tsv,303a2167-c633-4d5b-9acb-93003b9c5d0f,3dcee02c-a3d2-4188-a072-4d36c8a7e8fd,TCGA-ET-A2N4
bafc3122-091b-4648-bc51-8e6c72e47b6a.rna_seq.augmented_star_gene_counts.tsv,a73f836e-fa7b-4e38-8075-adb2dc4322fb,5be6c0d9-6ad7-482f-bd00-0432702df495,TCGA-E3-A3E0
be744c85-f54c-45f1-b080-8e5311931137.rna_seq.augmented_star_gene_counts.tsv,70dd0d77-092f-4770-82c6-e6b37b800ad2,64de42bd-d134-4f44-82fa-d6614709bf01,TCGA-EL-A3ZT
e07a08ba-ccd6-401c-84bc-178b91dfe499.rna_seq.augmented_star_gene_counts.tsv,bb6594c5-78de-49b5-996f-b38b3953e37a,44465a32-8ee9-4575-94b8-0200ba7c5bd4,TCGA-ET-A39P
0e17a845-e23e-4eab-8775-9411a1c6f1ee.rna_seq.augmented_star_gene_counts.tsv,fce125fa-4f67-46cf-bdc9-988e081ae777,dc5c1a76-30de-4b30-b397-3ad691c92a86,TCGA-EL-A4KG
2231c28a-bf18-4c0c-885c-42896df3b0e8.rna_seq.augmented_star_gene_counts.tsv,2a276a7e-a3e3-48df-b427-f32f70606152,e23cd75a-06ad-4da0-b19b-b812b0f6c1b9,TCGA-ET-A25G
830f4d93-c166-4ae5-9f39-a7eeda41dbb5.rna_seq.augmented_star_gene_counts.tsv,32583958-4ae0-4bbb-9518-19e24ac77a17,dc659941-8d12-4095-8d8a-1769878c363c,TCGA-DJ-A3VD
083109fa-f45d-4c3d-8aea-cb609e9efb02.rna_seq.augmented_star_gene_counts.tsv,4867f104-911a-4bda-8815-367bf28dff9d,dffef9e8-5b69-43d9-a95b-0744daa38d1d,TCGA-E3-A3DY
dfa22ed5-48a7-4a84-8ce2-d7bc2bdb7ef5.rna_seq.augmented_star_gene_counts.tsv,68a09a90-0fef-4eba-bba8-b6f0dbb74b75,e2475d48-628b-4095-b101-865d79a4b0ed,TCGA-EL-A3ZL
73091166-a0b0-4817-b56a-77210194c461.rna_seq.augmented_star_gene_counts.tsv,c801b113-11ce-4edd-bc44-48dd19d00791,e62a728d-390f-428a-bea1-fc8c9814fb11,TCGA-CE-A484
463a5f30-179d-4df1-9f48-f760d954574e.rna_seq.augmented_star_gene_counts.tsv,9a367db3-3cbf-4231-b6ea-686981433787,e35b2928-8784-45d0-a71a-a2df161542fa,TCGA-DJ-A2Q1
f62fa056-d687-4add-8211-54a070b8b601.rna_seq.augmented_star_gene_counts.tsv,30e48ad0-af7e-4030-95b2-1c3fd3d96d52,e48a8fa7-4e2b-44a0-95f5-e2925c60bad3,TCGA-FK-A3SH
1dde9fe7-5c0f-449f-9144-508e2a34f9d4.rna_seq.augmented_star_gene_counts.tsv,2bad2998-4066-4796-8569-1de516cb0d36,e92bdb0d-969a-4d98-ada8-5dfec68119b5,TCGA-EM-A1CS
2ea7afdd-f947-47e6-9516-b6f38e0a1967.rna_seq.augmented_star_gene_counts.tsv,c49698bf-315a-4809-b88b-452765b455c6,e632b443-cf6a-4592-96c6-c3493ec86fea,TCGA-EM-A1YE
